"index","ST","STATE","TOT_EMP","JOBS_1000","LOC_Q","H_MEAN","A_MEAN","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"41","RI","Rhode Island","16100","33.833","6.39","54.58","113523.336","33.196667","43.44","54.22333","63.373333","73.72667","69053.336","90350.0","112776.664","131813.33","153350.0"
"42","SC","South Carolina","42470","21.133","1.23","46.29","96290.0","25.475","33.015","43.78","56.955","68.78","52995.0","68675.0","91060.0","118465.0","143060.0"
"43","SD","South Dakota","8250","19.682","0.84","46.155","95995.0","30.655","36.26","44.06","54.465","64.2","63765.0","75425.0","91645.0","113290.0","133540.0"
"44","TN","Tennessee","60120","20.617","1.68","48.27","100403.336","25.62","35.076668","45.273335","60.02","72.29667","53290.0","72956.664","94166.664","124843.336","150380.0"
"45","TX","Texas","375050","31.541","2.56","57.016666","118593.336","25.55","40.193333","54.62","70.816666","83.14","53140.0","83606.664","113606.664","147300.0","172926.67"
"46","UT","Utah","54340","38.523","5.09","47.32","98426.664","24.563334","32.77667","45.666668","57.86","72.136665","51093.332","68170.0","94983.336","120353.336","150036.67"
"47","VA","Virginia","217810","57.471","6.76","64.013336","133146.67","39.226665","49.323334","61.15","76.39333","86.83","81593.336","102590.0","127193.336","158890.0","180603.33"
"48","VI","Virgin Islands","410","10.966","0.92","26.93","56010.0","15.82","19.09","23.87","30.34","40.55","32900.0","39700.0","49650.0","63120.0","84350.0"
"49","VT","Vermont","7790","25.547","1.46","48.56","101015.0","25.995","33.2","44.36","59.715","76.15","54070.0","69055.0","92270.0","124210.0","158400.0"
"50","WA","Washington","171330","53.767","5.34","63.63","132350.0","34.54","46.53","60.193333","76.67667","91.71667","71843.336","96783.336","125203.336","159490.0","190776.67"
"51","WI","Wisconsin","82560","29.225","2.14","43.396667","90273.336","27.706667","33.126667","40.983334","51.04","61.636665","57636.668","68903.336","85246.664","106163.336","128203.336"
"52","WV","West Virginia","11640","16.906","0.96","45.145","93905.0","24.36","32.485","43.36","56.045","66.715","50665.0","67560.0","90185.0","116575.0","138770.0"
"53","WY","Wyoming","2860","10.652","0.62","39.13","81390.0","25.085","29.19","36.705","45.33","58.88","52185.0","60715.0","76345.0","94290.0","122470.0"
